Taka Ap,Lingo,Payment Dhoron,Jaega,Taka Pr,Gupto,Takar Karon,Tarik,Boyosh,Kon Jaegar Lok,Sotti_Mithye
$600.00,M,AV,AM,$600.00,GHI001425921,CR,04-Dec-17,30-34,M,0
$200.00,M,AV,AM,$200.00,GHI001425921,CR,29-Mar-18,35-39,PP,0
$290.00,M,AV,AM,$290.00,GHI001425921,CR,07-Mar-19,25-29,M,0
$470.00,F,AV,AM,$470.00,GHI001425921,CR,11-Mar-19,25-29,NE,0
$560.00,M,AV,AM,$560.00,GHI001425921,CR,21-Mar-19,25-29,M,0
$480.00,F,AV,AM,$480.00,GHI001425921,CR,29-Mar-19,25-29,NE,0
$460.00,M,AV,AM,$460.00,GHI001425921,CR,04-Apr-19,25-29,M,0
$880.00,F,AV,O,$880.00,GHI001425921,CR,17-May-19,20-24,M,0
$930.00,M,AV,AM,$930.00,GHI001425921,CR,05-Jul-19,45-49,M,0
$780.00,M,AV,AM,$780.00,GHI001425921,CR,25-Oct-17,30-34,PP,0
$200.00,M,AV,AM,$200.00,GHI001425921,CR,04-Dec-17,30-34,M,0
$800.00,M,AV,AM,$800.00,GHI001425921,CR,29-Mar-18,35-39,PP,0
"$1,500.00",M,AV,AM,"$1,500.00",GHI001425921,CR,07-Mar-19,25-29,M,0
$940.00,F,AV,AM,$940.00,GHI001425921,CR,11-Mar-19,25-29,NE,0
"$1,120.00",M,AV,AM,"$1,120.00",GHI001425921,CR,21-Mar-19,25-29,M,0
$960.00,F,AV,AM,$960.00,GHI001425921,CR,29-Mar-19,25-29,NE,0
$920.00,M,AV,AM,$920.00,GHI001425921,CR,04-Apr-19,25-29,M,0
"$1,320.00",M,AV,O,"$1,320.00",GHI001425921,CR,13-Apr-19,25-29,M,0
"$1,760.00",F,AV,O,"$1,760.00",GHI001425921,CR,17-May-19,20-24,M,0
"$1,395.00",M,AV,AM,"$1,395.00",GHI001425921,CR,05-Jul-19,45-49,M,0
$290.00,F,RP,S,$290.00,GHI001721604,CR,15-Jun-20,18-19,M,0
$870.00,F,RP,S,$870.00,GHI001721604,CR,15-Jun-20,18-19,M,0
$638.00,F,AV,T,$638.04,GHI001908483,CR,17-Sep-20,30-34,PP,0
$430.00,F,AV,T,$430.00,GHI001908483,CR,24-Sep-20,35-39,M,0
$810.00,M,AV,T,$810.00,GHI001908483,CR,25-Sep-20,35-39,M,0
"$2,052.00",F,AV,T,"$2,051.88",GHI001908483,CR,15-Oct-20,20-24,M,0
$700.00,F,AV,AM,$700.00,GHI001941510,CR,15-Apr-20,40-44,M,0
"$2,100.00",F,AV,AM,"$2,100.00",GHI001941510,CR,15-Apr-20,40-44,M,0
$400.00,F,RP,AM,$400.00,GHI001826050,CR,04-Nov-19,55-59,M,0
$400.00,F,RP,AM,$400.00,GHI001826050,CR,04-Nov-19,55-59,M,0
$160.00,M,AV,BP,$160.00,GHI002004740,CR,06-Aug-20,65+,M,0
$160.00,M,AV,BP,$160.00,GHI002004740,CR,07-Aug-20,60-64,M,0
$145.00,M,AV,BP,$145.00,GHI002004740,CR,14-Aug-20,60-64,M,0
$200.00,M,RP,BP,$200.00,GHI002004740,CR,17-Aug-20,45-49,M,0
$320.00,M,AV,BP,$320.00,GHI002004740,CR,06-Aug-20,65+,M,0
$320.00,M,AV,BP,$320.00,GHI002004740,CR,07-Aug-20,60-64,M,0
$580.00,M,AV,BP,$580.00,GHI002004740,CR,14-Aug-20,60-64,M,0
$400.00,M,RP,BP,$400.00,GHI002004740,CR,17-Aug-20,45-49,M,0
$260.00,M,RP,C,$260.00,GHI001008655,CR,20-Feb-18,25-29,PP,0
$520.00,M,RP,C,$520.00,GHI001008655,CR,20-Feb-18,25-29,PP,0
$800.00,F,AV,W,$800.00,GHI002115585,CR,20-Nov-20,25-29,NE,0
"$1,600.00",F,AV,W,"$1,600.00",GHI002115585,CR,20-Nov-20,25-29,NE,0
$133.00,M,AV,W,$132.94,GHI000197645,CR,16-May-19,55-59,M,0
"$1,452.00",M,AV,W,"$1,451.96",GHI000197645,CR,11-Jul-20,50-54,U,0
$520.00,F,AV,AM,$520.00,GHI000674852,CR,25-Mar-20,45-49,M,0
"$2,080.00",F,AV,AM,"$2,080.00",GHI000674852,CR,25-Mar-20,45-49,M,0
$750.00,F,AV,O,$750.00,GHI001671946,CR,14-Feb-19,25-29,O,0
"$1,000.00",F,AV,O,"$1,000.00",GHI001671946,CR,14-Feb-19,25-29,O,0
$450.00,F,AV,W,$450.00,GHI001736466,CR,05-Jul-19,25-29,NE,0
"$1,800.00",F,AV,W,"$1,800.00",GHI001736466,CR,05-Jul-19,25-29,NE,0
$230.00,M,AV,AM,$230.00,GHI000233220,CR,18-Oct-18,20-24,M,0
$230.00,F,AV,AM,$230.00,GHI000233220,CR,20-Nov-18,45-49,M,0
$350.00,F,AV,AM,$350.00,GHI000233220,CR,08-Nov-19,30-34,NE,0
$920.00,M,AV,AM,$920.00,GHI000233220,CR,18-Oct-18,20-24,M,0
$920.00,F,AV,AM,$920.00,GHI000233220,CR,20-Nov-18,45-49,M,0
"$2,100.00",F,AV,AM,"$2,100.00",GHI000233220,CR,08-Nov-19,30-34,NE,0
$720.00,M,AV,O,$720.00,GHI000158070,CR,17-Dec-18,25-29,NE,0
$200.00,F,AV,BP,$200.00,GHI001503234,CR,02-Sep-19,55-59,NE,0
$200.00,F,AV,BP,$200.00,GHI001503234,CR,02-Sep-19,55-59,NE,0
"$1,650.00",F,AV,BP,"$1,650.00",GHI001647104,CR,18-Dec-18,30-34,NE,0
$500.00,F,AV,N,$500.00,GHI001936384,CR,16-Apr-20,25-29,O,0
"$1,250.00",F,RP,O,"$1,250.00",GHI001673746,CR,13-Feb-19,40-44,PP,0
$300.00,F,AV,W,$300.00,GHI001749506,CR,18-Dec-19,30-34,PP,0
$680.00,M,AV,W,$680.00,GHI001749506,CR,25-Jul-19,20-24,NE,0
"$1,200.00",F,AV,W,"$1,200.00",GHI001749506,CR,18-Dec-19,30-34,PP,0
$667.00,F,AV,W,$666.66,GHI001566769,CR,08-Aug-18,55-59,M,0
$667.00,M,AV,W,$666.66,GHI001566769,CR,23-Aug-18,35-39,M,0
$399.00,F,AV,C,$399.00,GHI001030658,CR,24-Jan-17,25-29,NE,0
$190.00,M,AV,O,$190.00,GHI001030658,CR,17-Sep-18,35-39,M,0
$190.00,F,AV,C,$190.00,GHI001030658,CR,20-Sep-18,30-34,NE,0
"$1,197.00",F,AV,C,"$1,197.00",GHI001030658,CR,24-Jan-17,25-29,NE,0
$570.00,M,AV,O,$570.00,GHI001030658,CR,17-Sep-18,35-39,M,0
$570.00,F,AV,C,$570.00,GHI001030658,CR,20-Sep-18,30-34,NE,0
"$1,940.00",F,AV,N,"$1,940.00",GHI000946952,CR,15-Mar-17,20-24,NE,0
$325.00,M,AV,AM,$325.00,GHI000165126,CR,16-Oct-17,35-39,O,0
$365.00,F,AV,AM,$365.00,GHI000165126,CR,04-Jan-18,40-44,M,0
$265.00,M,AV,O,$265.00,GHI000165126,CR,14-May-18,65+,NE,0
$250.00,M,AV,AM,$250.00,GHI000165126,CR,27-Nov-18,55-59,O,0
$395.00,M,AV,AM,$395.00,GHI000165126,CR,07-Dec-18,30-34,NE,0
$350.00,M,AV,AM,$350.00,GHI000165126,CR,20-Mar-19,40-44,NE,0
$375.00,M,AV,AM,$375.00,GHI000165126,CR,13-Jun-19,18-19,O,0
$380.00,M,AV,O,$380.00,GHI000165126,CR,20-Nov-19,40-44,NE,0
$395.00,M,AV,AM,$395.00,GHI000165126,CR,22-Aug-20,55-59,O,0
$395.00,M,AV,AM,$395.00,GHI000165126,CR,23-Sep-20,65+,NE,0
$647.00,F,AV,AM,$647.00,GHI000165126,CR,19-Dec-16,60-64,O,0
$650.00,M,AV,AM,$650.00,GHI000165126,CR,16-Oct-17,35-39,O,0
"$1,095.00",M,AV,AM,"$1,095.00",GHI000165126,CR,21-Dec-17,65+,O,0
$365.00,F,AV,AM,$365.00,GHI000165126,CR,04-Jan-18,40-44,M,0
$315.00,M,AV,O,$315.00,GHI000165126,CR,14-May-18,65+,NE,0
"$1,095.00",M,AV,AM,"$1,095.00",GHI000165126,CR,02-Aug-18,65+,NE,0
$850.00,M,AV,AM,$850.00,GHI000165126,CR,27-Nov-18,55-59,O,0
$790.00,M,AV,AM,$790.00,GHI000165126,CR,07-Dec-18,30-34,NE,0
$700.00,M,AV,AM,$700.00,GHI000165126,CR,20-Mar-19,40-44,NE,0
"$1,225.00",M,AV,AM,"$1,225.00",GHI000165126,CR,23-May-19,65+,M,0
$750.00,M,AV,AM,$750.00,GHI000165126,CR,13-Jun-19,18-19,O,0
$760.00,M,AV,O,$760.00,GHI000165126,CR,20-Nov-19,40-44,NE,0
$790.00,M,AV,AM,$790.00,GHI000165126,CR,22-Aug-20,55-59,O,0
$790.00,M,AV,AM,$790.00,GHI000165126,CR,23-Sep-20,65+,NE,0
$240.00,F,AV,EC,$240.00,GHI001357314,CR,25-Jul-18,50-54,NE,0
$460.00,M,AV,EC,$460.00,GHI001357314,CR,05-Sep-18,35-39,NE,0
$360.00,F,AV,EC,$360.00,GHI001357314,CR,11-Oct-18,45-49,M,0
$640.00,M,RP,EC,$640.00,GHI001357314,CR,17-Oct-18,35-39,M,0
$460.00,F,AV,EC,$460.00,GHI001357314,CR,26-Oct-18,45-49,M,0
$700.00,M,RP,EC,$700.00,GHI001357314,CR,29-Oct-18,50-54,M,0
$360.00,M,AV,O,$360.00,GHI001357314,CR,13-Dec-18,50-54,M,0
$460.00,F,AV,O,$460.00,GHI001357314,CR,07-Jan-19,55-59,U,0
$360.00,M,RP,EC,$360.00,GHI001357314,CR,11-Feb-19,50-54,M,0
$480.00,F,AV,O,$480.00,GHI001357314,CR,21-Feb-19,18-19,M,0
$400.00,F,RP,EC,$400.00,GHI001357314,CR,28-Feb-19,35-39,M,0
$480.00,F,AV,EC,$480.00,GHI001357314,CR,01-Mar-19,20-24,NE,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,22-Mar-19,25-29,M,0
$500.00,M,RP,EC,$500.00,GHI001357314,CR,18-Apr-19,25-29,NE,0
$480.00,M,AV,EC,$480.00,GHI001357314,CR,09-May-19,25-29,M,0
$460.00,M,AV,EC,$460.00,GHI001357314,CR,10-May-19,20-24,NE,0
$500.00,M,RP,O,$500.00,GHI001357314,CR,01-Jul-19,30-34,M,0
$400.00,M,RP,EC,$400.00,GHI001357314,CR,09-Jul-19,18-19,PP,0
$400.00,F,AV,EC,$400.00,GHI001357314,CR,19-Jul-19,25-29,PP,0
$460.00,F,AV,EC,$460.00,GHI001357314,CR,24-Jul-19,30-34,M,0
$460.00,M,RP,O,$460.00,GHI001357314,CR,28-Aug-19,20-24,M,0
$600.00,M,RP,EC,$600.00,GHI001357314,CR,04-Sep-19,30-34,M,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,05-Sep-19,55-59,M,0
$400.00,F,AV,EC,$400.00,GHI001357314,CR,19-Sep-19,20-24,M,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,24-Sep-19,30-34,M,0
$230.00,F,AV,O,$230.00,GHI001357314,CR,09-Oct-19,45-49,M,0
$750.00,M,AV,EC,$750.00,GHI001357314,CR,13-Nov-19,30-34,M,0
$400.00,F,AV,EC,$400.00,GHI001357314,CR,03-Dec-19,25-29,M,0
$460.00,M,AV,EC,$460.00,GHI001357314,CR,24-Dec-19,50-54,NE,0
$400.00,F,AV,EC,$400.00,GHI001357314,CR,30-Dec-19,18-19,M,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,31-Dec-19,20-24,M,0
$400.00,F,AV,EC,$400.00,GHI001357314,CR,03-Jan-20,25-29,M,0
$460.00,M,RP,EC,$460.00,GHI001357314,CR,07-Jan-20,35-39,PP,0
$500.00,M,AV,EC,$500.00,GHI001357314,CR,09-Jan-20,35-39,M,0
$480.00,F,AV,EC,$480.00,GHI001357314,CR,15-Jan-20,30-34,M,0
$460.00,M,AV,EC,$460.00,GHI001357314,CR,21-Jan-20,45-49,U,0
$400.00,F,AV,EC,$400.00,GHI001357314,CR,31-Jan-20,20-24,M,0
$690.00,F,RP,EC,$690.00,GHI001357314,CR,03-Feb-20,18-19,O,0
$460.00,M,RP,EC,$460.00,GHI001357314,CR,11-Mar-20,45-49,M,0
$460.00,M,AV,EC,$460.00,GHI001357314,CR,04-May-20,40-44,M,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,21-May-20,35-39,NE,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,10-Jul-20,20-24,M,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,05-Aug-20,25-29,NE,0
$400.00,F,AV,EC,$400.00,GHI001357314,CR,07-Aug-20,30-34,M,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,08-Sep-20,55-59,M,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,29-Sep-20,55-59,M,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,01-Oct-20,20-24,NE,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,02-Nov-20,18-19,M,0
$500.00,M,AV,EC,$500.00,GHI001357314,CR,23-Nov-20,18-19,M,0
$460.00,M,RP,EC,$460.00,GHI001357314,CR,25-Nov-20,20-24,M,0
$600.00,M,AV,EC,$600.00,GHI001357314,CR,30-Nov-20,45-49,M,0
$460.00,M,AV,EC,$460.00,GHI001357314,CR,03-May-18,30-34,M,0
$460.00,F,AV,EC,$460.00,GHI001357314,CR,16-May-18,25-29,M,0
$500.00,M,RP,O,$500.00,GHI001357314,CR,23-Jul-18,45-49,PP,0
$580.00,F,AV,EC,$580.00,GHI001357314,CR,25-Jul-18,50-54,NE,0
"$2,400.00",F,RP,EC,"$2,400.00",GHI001357314,CR,10-Sep-18,30-34,U,0
$460.00,M,AV,O,$460.00,GHI001357314,CR,02-Nov-18,50-54,NE,0
$460.00,M,AV,EC,$460.00,GHI001357314,CR,28-Jan-19,40-44,O,0
$500.00,M,AV,EC,$500.00,GHI001357314,CR,23-May-19,60-64,NE,0
$400.00,M,AV,EC,$400.00,GHI001357314,CR,05-Jun-19,35-39,M,0
$771.00,M,AV,EC,$771.14,GHI001357314,CR,15-Jul-19,18-19,NE,0
$822.00,M,AV,W,$822.14,GHI001357314,CR,17-Jul-19,50-54,M,0
$400.00,F,AV,EC,$400.00,GHI001357314,CR,10-Sep-19,18-19,M,0
$230.00,F,AV,O,$230.00,GHI001357314,CR,09-Oct-19,45-49,M,0
$630.00,M,RP,O,$630.00,GHI001357314,CR,02-Dec-19,18-19,U,0
$500.00,M,AV,EC,$500.00,GHI001357314,CR,27-Nov-20,40-44,M,0
"$2,000.00",F,AV,N,"$2,000.00",GHI000086279,CR,04-Nov-19,20-24,NE,0
$89.00,F,AV,W,$88.55,GHI000086279,CR,21-Oct-20,30-34,M,0
$950.00,F,AV,AM,$950.00,GHI000510470,CR,20-Dec-16,20-24,M,0
"$1,900.00",F,AV,AM,"$1,900.00",GHI000510470,CR,20-Dec-16,20-24,M,0
"$1,900.00",F,RP,AM,"$1,900.00",GHI001505024,CR,26-Mar-18,20-24,NE,0
$805.00,F,RP,AM,$805.00,GHI001713676,CR,09-May-19,45-49,O,0
"$2,339.00",M,AV,AM,"$2,339.13",GHI001713676,CR,30-Aug-19,65+,PP,0
$760.00,M,AV,AM,$760.00,GHI001811479,CR,01-Oct-19,45-49,NE,0
$650.00,F,AV,AM,$650.00,GHI002006534,CR,13-Jul-20,30-34,PP,0
$650.00,F,AV,Wlg,$650.00,GHI002006534,CR,13-Jul-20,55-59,O,0
$365.00,F,AV,AM,$365.00,GHI002006534,CR,24-Sep-20,25-29,O,0
"$1,870.00",F,AV,AM,"$1,870.00",GHI002006534,CR,13-Jul-20,30-34,PP,0
"$2,600.00",F,AV,Wlg,"$2,600.00",GHI002006534,CR,13-Jul-20,55-59,O,0
"$1,460.00",F,AV,AM,"$1,460.00",GHI002006534,CR,24-Sep-20,25-29,O,0
$700.00,F,AV,C,$700.00,GHI001763332,CR,30-Jul-19,40-44,NE,0
"$1,050.00",F,AV,C,"$1,050.00",GHI001763332,CR,30-Jul-19,40-44,NE,0
$220.00,F,AV,O,$220.00,GHI002063113,CR,11-Sep-20,25-29,NE,0
$880.00,F,AV,O,$880.00,GHI002063113,CR,11-Sep-20,25-29,NE,0
"$1,600.00",M,AV,BP,"$1,600.00",GHI000715267,CR,12-Feb-19,30-34,NE,0
"$2,080.00",F,AV,C,"$2,080.00",GHI001584905,CR,14-Aug-18,20-24,M,0
$920.00,F,RP,Wlg,$920.00,GHI000349445,CR,10-Aug-18,35-39,O,0
"$1,840.00",F,RP,Wlg,"$1,840.00",GHI000349445,CR,10-Aug-18,35-39,O,0
$158.00,M,AV,AM,$157.55,GHI001342214,CR,18-Jan-19,30-34,M,0
"$2,729.00",F,AV,AM,"$2,729.41",GHI001342214,CR,22-Oct-19,25-29,M,0
$800.00,F,RP,T,$800.00,GHI000545303,CR,22-Aug-18,35-39,NE,0
"$1,600.00",F,RP,T,"$1,600.00",GHI000545303,CR,22-Aug-18,35-39,NE,0
$350.00,M,AV,AM,$350.00,GHI000248094,CR,07-Aug-17,55-59,U,0
"$1,400.00",M,RP,AM,"$1,400.00",GHI000248094,CR,14-Sep-20,55-59,M,0
$700.00,M,AV,AM,$700.00,GHI000248094,CR,17-Sep-20,20-24,U,0
$700.00,M,AV,AM,$700.00,GHI000248094,CR,24-Sep-20,55-59,M,0
$700.00,M,AV,O,$700.00,GHI000248094,CR,30-Sep-20,40-44,M,0
$700.00,F,AV,AM,$700.00,GHI000248094,CR,01-Oct-20,60-64,PP,0
$780.00,F,AV,O,$780.00,GHI000248094,CR,21-Oct-20,25-29,M,0
$980.00,F,AV,AM,$980.00,GHI000248094,CR,23-Oct-20,30-34,M,0
$700.00,M,AV,AM,$700.00,GHI000248094,CR,29-Oct-20,40-44,M,0
$500.00,F,AV,AM,$500.00,GHI000248094,CR,09-Nov-20,45-49,M,0
$500.00,F,AV,AM,$500.00,GHI000248094,CR,09-Nov-20,30-34,M,0
$200.00,F,AV,AM,$200.00,GHI000248094,CR,10-Nov-20,30-34,M,0
$780.00,F,AV,AM,$780.00,GHI000248094,CR,12-Nov-20,25-29,M,0
$500.00,M,AV,AM,$500.00,GHI000248094,CR,13-Nov-20,20-24,M,0
$500.00,M,AV,O,$500.00,GHI000248094,CR,16-Nov-20,30-34,M,0
"$1,400.00",M,RP,AM,"$1,400.00",GHI000248094,CR,14-Sep-20,55-59,M,0
"$1,400.00",M,AV,AM,"$1,400.00",GHI000248094,CR,17-Sep-20,20-24,U,0
$700.00,M,AV,AM,$700.00,GHI000248094,CR,24-Sep-20,55-59,M,0
$700.00,M,AV,O,$700.00,GHI000248094,CR,30-Sep-20,40-44,M,0
$700.00,F,AV,AM,$700.00,GHI000248094,CR,01-Oct-20,60-64,PP,0
$780.00,F,AV,O,$780.00,GHI000248094,CR,21-Oct-20,25-29,M,0
$980.00,F,AV,AM,$980.00,GHI000248094,CR,23-Oct-20,30-34,M,0
$700.00,M,AV,AM,$700.00,GHI000248094,CR,29-Oct-20,40-44,M,0
$500.00,F,AV,AM,$500.00,GHI000248094,CR,09-Nov-20,45-49,M,0
$500.00,F,AV,AM,$500.00,GHI000248094,CR,09-Nov-20,30-34,M,0
$200.00,F,AV,AM,$200.00,GHI000248094,CR,10-Nov-20,30-34,M,0
$780.00,F,AV,AM,$780.00,GHI000248094,CR,12-Nov-20,25-29,M,0
$500.00,M,AV,AM,$500.00,GHI000248094,CR,13-Nov-20,20-24,M,0
$500.00,M,AV,O,$500.00,GHI000248094,CR,16-Nov-20,30-34,M,0
$60.00,F,AV,Wlg,$60.00,GHI001688585,CR,12-Mar-19,25-29,M,0
"$2,000.00",F,AV,C,"$2,000.00",GHI001358337,CR,17-May-19,50-54,NE,0
$220.00,F,AV,Wlg,$220.00,GHI000230409,CR,05-Jun-19,40-44,NE,0
$220.00,F,AV,Wlg,$220.00,GHI000230409,CR,05-Jun-19,40-44,NE,0
$350.00,M,AV,AM,$350.00,GHI000250631,CR,19-Jun-20,30-34,M,0
$280.00,M,AV,AM,$280.00,GHI000250631,CR,03-Jul-20,45-49,M,0
$280.00,M,AV,AM,$280.00,GHI000250631,CR,06-Jul-20,35-39,M,0
$280.00,F,AV,AM,$280.00,GHI000250631,CR,09-Jul-20,30-34,M,0
$560.00,M,AV,AM,$560.00,GHI000250631,CR,13-Jul-20,30-34,O,0
$280.00,M,AV,AM,$280.00,GHI000250631,CR,14-Jul-20,55-59,M,0
$280.00,M,AV,AM,$280.00,GHI000250631,CR,14-Jul-20,20-24,M,0
$280.00,M,AV,AM,$280.00,GHI000250631,CR,16-Jul-20,35-39,M,0
$280.00,M,AV,AM,$280.00,GHI000250631,CR,17-Jul-20,25-29,PP,0
$280.00,F,AV,AM,$280.00,GHI000250631,CR,21-Jul-20,40-44,PP,0
$280.00,F,AV,AM,$280.00,GHI000250631,CR,21-Jul-20,35-39,M,0
$280.00,F,RP,AM,$280.00,GHI000250631,CR,27-Jul-20,20-24,NE,0
$700.00,F,AV,AM,$700.00,GHI000250631,CR,28-Jul-20,20-24,U,0
$280.00,F,AV,AM,$280.00,GHI000250631,CR,29-Jul-20,30-34,M,0
$280.00,M,AV,AM,$280.00,GHI000250631,CR,30-Jul-20,50-54,O,0
$560.00,M,AV,AM,$560.00,GHI000250631,CR,31-Jul-20,40-44,M,0
$300.00,M,AV,AM,$300.00,GHI000250631,CR,03-Aug-20,20-24,M,0
$400.00,M,AV,AM,$400.00,GHI000250631,CR,04-Aug-20,30-34,M,0
$300.00,M,AV,AM,$300.00,GHI000250631,CR,04-Aug-20,45-49,M,0
$600.00,M,RP,AM,$600.00,GHI000250631,CR,05-Aug-20,30-34,M,0
$350.00,M,AV,AM,$350.00,GHI000250631,CR,06-Aug-20,55-59,NE,0
$300.00,M,AV,AM,$300.00,GHI000250631,CR,07-Aug-20,30-34,PP,0
$300.00,M,AV,AM,$300.00,GHI000250631,CR,11-Aug-20,35-39,NE,0
$300.00,M,AV,AM,$300.00,GHI000250631,CR,14-Aug-20,60-64,PP,0
